MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	Bosendorfer 290 Imperial																					
VersionDate	V1 251227																					
InstrDescription	From samples GRANDIOSO Bosendorfer 290, 2002 PMI Amsterdam created by Michiel Post																					
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-22dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoSalamanderGrandPianoV3-pedalForteD1.wav	-48				0,8	pianoSalamanderGrandPianoV3-pedalU1.wav	-64					
34	A#1	14	=	=	=	=	=	-0,48	1,42	=	=	=	=	=	=	=	=	=	=	=	=	=
35	B1	15	=	=	=	=	=	-0,46	1,41	=	=	2,3	-18,5	33,11	=	=	=	=	=	0,00016	61,43	-16,4 0 -2,5 -7 -18,6 -2 -12,8 -24,8 -22 -9,7 -15,5 -32,7 -17,1 -3,9 -17,9 -26,2 -28,8 -21,4 -14,9 -33,4 -23,3 -11,1 -26,5 -35,3 -26,6 -31,6 -21,3 -23,6 -22 -22,7 -25 -45,6 -38,2 -32,8 -23,2 -20,6 -26,3 -36,8 -55,8 -42,4 -37,6 -26,8 -28,3 -22,9 -41,9 -49,5 -48,8 -38,8 -34,8 -39,8 -49,2 -50,2 -47,2 -47,5 -49,5 -47,7 -48,7 -52,7 -44,3 -54,2 -42,2 -53,7 -51,4 -57,7 -64,2 -49,5 -34,4 -55,6 -54,7 -65,1 -76,7 -65 -66,2 -56,3 -64 -61,7 -64,1 -71,4 -65,3 -79,7 -77,1 -83,2 -86,1 -75,6 -69,4 -58,7 -77,4 
36	C2	16	=	=	=	=	=	-0,45	=	=	=	2,256	-17,1	36,375	0,671	=	=	=	=	0,000168	65,09	-9,1 0 -4,1 -6,3 -23 -6,9 -7,6 -31,7 -26,8 -22,1 -8,8 -23,2 -24,7 -9,9 -16,6 -21,9 -39,5 -19,5 -20,3 -26 -20 -20,7 -19,7 -37,8 -26,9 -25,4 -31 -32,7 -25,8 -28,1 -31,2 -41,3 -31,6 -47,8 -35,7 -28,5 -23,5 -36,5 -53 -50,4 -30,8 -40,8 -37,5 -31,7 -39,1 -56,3 -46,1 -45,2 -39,6 -48,8 -60 -53,4 -48,4 -57,9 -47,4 -52 -55,2 -52,1 -53,5 -52,7 -58,9 -59,1 -58,3 -57,7 -70,1 -53,1 -37,4 -59,9 -68,8 -72,2 -82,5 -73,1 -59,6 -61,4 -69,1 -75,2 -72,8 -82,6 -79,4 -81,5 -84,4 -86,7 -81,5 -84,3 -75,7 
37	C#2	17	=	=	=	=	=	-0,43	1,4	=	=	=	=	=	=	=	=	=	=	=	=	=
38	D2	18	=	3	=	=	=	-0,41	=	=	=	2,9	-23	=	=	=	=	=	=	0,000104	73,24	0 -1,4 -14,4 -11 -14,2 -12,3 -12,3 -24 -29,9 -19,9 -22,3 -18,4 -26,2 -24,8 -22,6 -19 -42,7 -24 -21,8 -20 -33,8 -20,9 -23,4 -23,6 -41,2 -50,1 -39,9 -31,4 -40,3 -30,8 -27 -25,9 -24,3 -44,2 -46,6 -36,5 -32,7 -27 -26,2 -35,6 -37,3 -41,4 -44,2 -47,9 -37,7 -33,8 -45,4 -45,8 -43 -44,7 -61,9 -51,7 -44,8 -45,9 -49,5 -57,5 -42,8 -46,9 -60,4 -53,8 -58,1 -48,8 -54,7 -52,6 -47,5 -50,6 -63,9 -70,7 -59,7 -63,9 -61,7 -63,3 -51,1 -61,8 -78,4 -82,2 -73,3 -65,3 -68,4 -71,6 -84,2 -59 -75,5 -77,4 
39	D#2	19	=	=	=	=	=	-0,4	1,39	=	=	=	=	=	=	=	=	=	=	=	=	=
40	E2	20	=	=	=	=	=	-0,38	=	=	=	2,822	-18,3	=	=	=	=	=	=	0,000155	82,03	-3,8 0 -2,3 -12,4 -21,3 -19,5 -22,6 -32,8 -28,6 -16,7 -30,2 -31,9 -34,4 -19 -14,8 -25,5 -46,1 -26,4 -27,1 -29,6 -40,6 -30,7 -27,2 -29,5 -41,9 -42,9 -41 -38,1 -35,3 -37,2 -34 -39,3 -56,6 -38,5 -46,7 -41,2 -38 -36,8 -43,5 -54,5 -63,4 -62,3 -49,4 -43,1 -46 -47,9 -49,6 -59,1 -71,6 -52 -55,9 -47,1 -54,7 -52,5 -57,3 -74,1 -56,4 -65,5 -68,9 -63,9 -61,8 -65,4 -62,7 -72,8 -71,7 -74,6 -72 -79,1 -69,3 -73,3 -82,2 -89,2 -81,9 -79 -73,6 
41	F2	21	=	=	=	=	=	-0,37	1,38	=	=	2,811	-18,7	=	=	=	=	=	=	0,000138	86,98	-1 -8,7 0 -15,5 -13,1 -10,3 -24,5 -18,1 -27,1 -15,7 -21 -13,2 -22,4 -19,6 -11,9 -18 -26,5 -40,7 -25,4 -29,9 -37,7 -33,7 -19,6 -22,3 -38,7 -36,8 -40,1 -38,2 -49,1 -31,1 -40,4 -33,6 -56,6 -42,3 -40,6 -44,7 -39,2 -32,8 -40,9 -40,3 -64 -53,2 -52,8 -48,1 -44,8 -39,9 -46,9 -57,3 -60,9 -56,5 -47,5 -49,1 -56,5 -57,4 -60,9 -56,7 -68,7 -65,8 -56 -62,5 -61,3 -63,3 -62,6 -74,2 -69,3 -80,4 -73,4 -66,2 -73,3 -67,1 -76,9 -81,6 -85,2 -78,7 -77,5 -78,9 
42	F#2	22	=	=	=	=	=	-0,35	=	=	=	=	=	=	=	=	=	=	=	=	=	=
43	G2	23	=	=	=	=	=	-0,33	1,37	=	=	3,378	-25,7	20,54	=	=	=	=	=	0,000149	97,6	0 -5,2 -4,2 -3,6 -15,1 -14,6 -11,1 -22,7 -15,7 -20,8 -12,5 -14,3 -26,7 -14,2 -10,7 -21,6 -41,4 -15,9 -26,8 -25,8 -25,9 -22,9 -22,3 -20,4 -30,5 -33,7 -23,5 -27,8 -28,5 -31,4 -29 -43 -63,4 -43,3 -37 -54,6 -38,3 -35,3 -37,5 -40,7 -53,2 -48,6 -41 -44,9 -45,4 -45,3 -45,9 -56 -70,3 -50,6 -59,7 -47,3 -56,8 -54,4 -66,5 -73,7 -65,6 -62,1 -65,5 -65,6 -69,9 -61,1 -57,8 -82,5 -72,8 -70,6 -80,6 -73,1 -70,4 -82,2 -73,7 -70 -82 
