MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	Yamaha C5																					
VersionDate	V3 250826																					
InstrDescription	"Grand Piano Yamaha C5																					
Salamander Grand Piano V2 Recorded @ 48khz24bit																						
Licence: CC-by http://creativecommons.org/licenses/by/3.0/																						
Author: Alexander Holm"																						
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-22dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoSalamanderGrandPianoV3-pedalForteD1.wav	-48				0,8	pianoSalamanderGrandPianoV3-pedalU1.wav	-72					
43	G2	23	=	=	=	=	=	-0,33	1,37	=	=	=	=	=	=	=	=	=	=	=	=	=
44	G#2	24	=	=	=	=	=	-0,32	1,36	=	=	=	=	=	=	=	=	=	=	=	=	=
45	A2	25	=	=	=	=	=	-0,3	=	=	=	2,211	-19,3	40,21	0,593	=	=	=	-2	0,000146	109,68	0 -0,9 -3,2 -12,2 -16,1 -12,9 -14,7 -27,6 -22,6 -13,7 -19,5 -19,3 -26,8 -13,4 -18,4 -26,9 -32,6 -19,8 -26,2 -46,5 -39,6 -31,1 -23 -30 -55,6 -45,9 -44,9 -34,6 -35,9 -30,7 -41,7 -56 -37,2 -58,2 -51,3 -55,6 -48,7 -61,9 -56,3 -67,4 -62,6 -58,9 -56,2 -63 -65,3 -62,1 -65,1 -66,6 -69,7 -61 -60,9 -68,8 -73,9 -60 -71,3 -75,4 -76,1 -70,6 -70,7 -76 -70,9 -82,1 
46	A#2	26	=	=	=	=	=	-0,29	1,35	=	=	=	=	=	=	=	=	=	=	=	=	=
47	B2	27	=	3	=	=	=	-0,27	=	=	=	=	=	=	=	=	=	=	=	=	=	=
48	C3	28	=	=	=	=	=	-0,25	1,34	=	=	1,678	-21	24,216	0,567	=	=	=	=	0,000174	130,19	0 -0,1 -6,8 -32,3 -20,7 -18,1 -15,7 -36,8 -20 -29,7 -27,3 -22,2 -36,3 -32,5 -32,8 -31,4 -32,1 -33,2 -33,3 -37,7 -44 -36,2 -28,3 -38,4 -45,7 -51,4 -42,2 -48,5 -48,4 -45,2 -51,9 -67,6 -60,6 -59,5 -63,4 -61 -53,4 -58,9 -75,5 -66,9 -66,2 -56,3 -62,1 -55,4 -61,7 -84,2 -71,6 -72,6 -76 -76,9 -72,8 -80,5 
49	C#3	29	=	=	=	=	=	-0,24	=	=	=	=	=	=	=	=	=	=	=	=	=	=
50	D3	30	=	=	=	=	=	-0,22	1,33	=	=	=	=	=	=	=	=	=	=	=	=	=
51	D#3	31	=	=	=	=	=	-0,21	1,32	=	=	2,144	-21,2	18,54	0,541	=	=	=	=	9,6e-05	155,46	0 -2,4 -7,8 -9,6 -17,6 -21,1 -16,4 -32,2 -16,4 -21,8 -24 -19,5 -29,5 -36,6 -28,2 -33,2 -37,2 -43,8 -41,3 -29,2 -50,9 -27,2 -33,1 -40,6 -57,2 -44 -46,8 -57,9 -46,7 -58 -59,3 -51,4 -79,1 -60,3 -58,5 -66,9 -59,8 -57 -56,5 -64,8 -62,4 -83,9 -69,2 -75,5 -74,2 -67,3 -70,2 -78,8 -80,6 
52	E3	32	=	=	=	=	=	-0,19	=	=	=	=	=	=	=	=	=	=	=	=	=	=
