MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	GP-Schimmel-155-SN196510																					
VersionDate	V3 250618																					
InstrDescription	Grand Piano Schimmel-155 1980 SN196510																					
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-20dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoPedaleForteBas.wav	-12				0,8	pianoPedaleHaut.wav	-18					
39	Ré# 1	19	=	=	=	=	=	-0,34	0,87	=	=	1,331	-16,8	27,03	0,645	=	=	=	=	0,00033	77,41	-8,8 -5,3 0 -10,5 -3,3 -6,8 -8,9 -10,6 -18,8 -6,2 -13,6 -13 -24,9 -16,6 -20,7 -16,5 -24 -37 -20,3 -21,2 -20,8 -28,9 -18,9 -30,3 -38 -35,8 -44 -20 -36,4 -34,4 -44,2 -41,4 -47,7 -52,7 -57,7 -47,6 -41 -43,7 -29,6 -51,8 -50,1 -61,6 -65,8 -60 -63,1 -57,3 -65,6 -53,7 -58,5 -69,6 -67,4 -61,2 -64,6 -68 -51,8 -68,9 
40	Mi 1	20	=	=	=	=	=	-0,33	0,86	=	=	1,292	-17,1	26,83	0,636	=	=	=	=	0,000339	81,94	-6,7 -4,4 0 -3,9 -7 -19,9 -11,8 -15,4 -13,9 -11,4 -13,6 -26,8 -22,4 -19 -18,4 -19,4 -36,5 -18,2 -22,9 -26 -18,7 -23,5 -23,9 -27,8 -41,9 -36,7 -18,1 -27,6 -28,7 -35,3 -33,1 -43,2 -40,8 -42,2 -37,4 -35,4 -25,2 -34,1 -45,3 -41,9 -49,9 -53,2 -49 -53,7 -54,6 -47,6 -57,8 -60,4 -59,4 -59,2 -63,9 -62,1 -50,9 -42,8 -64,6 
41	Fa 1	21	=	=	=	=	=	-0,31	=	=	=	1,372	=	26,65	0,628	=	=	=	=	0,000291	86,7	-6,5 -5,3 0 -7,8 -2,4 -9,2 -6,7 -11,6 -23,8 -8,2 -9,6 -21,4 -16,5 -19 -22,3 -24,4 -26,7 -24 -22,4 -25,2 -17,1 -22,5 -24,8 -31,3 -38,8 -46,5 -24,1 -34 -36,6 -37,9 -44,9 -48,3 -50,2 -46,1 -41,3 -44,7 -46,9 -51,5 -55,8 -55,2 -59,9 -60,1 -92 -58,7 -51,2 -60,1 -92 -63,8 -66 -62,9 -67,1 -63,7 
42	Fa# 1	22	=	=	=	=	=	-0,3	0,85	=	=	=	=	26,46	0,619	=	=	=	=	0,00026	92,38	-0,8 -4,7 0 -6,6 -11,5 -15,1 -12,3 -13,7 -24,8 -19,3 -4,9 -26,9 -29,9 -19,4 -14,5 -21,6 -32,4 -36,4 -28,6 -24,8 -26 -25,4 -33,1 -30,9 -30,5 -41,8 -42,4 -25 -38,5 -32,2 -34,2 -42,3 -48,6 -54,4 -54 -45,3 -44 -41,5 -47 -52,5 -54,2 -54,7 -65,9 -70,5 -59,8 -66,5 -55,7 -55,9 -57,8 -64,8 -61,7 -66 -72,8 -71,8 -77,1 -63,2 -68 
43	Sol 1	23	=	=	=	=	=	-0,29	0,84	=	=	1,114	-17,8	26,27	0,61	=	=	=	=	0,000421	97,5	0 -7,6 0 -4,3 -20,2 -7,2 -4,6 -23,5 -14,7 -16,9 -17 -19,9 -24,5 -15,1 -16,9 -27,5 -31 -17,1 -26,5 -32,3 -23,4 -33,3 -41,5 -43,1 -39,6 -34,5 -35,7 -34,8 -39,6 -46,2 -54,1 -46,3 -38,2 -40,9 -53,9 -52,2 -56,8 -67,9 -53,6 -47,2 -58,3 -65,2 -66,3 -57,2 -69,3 -69,5 -61,4 -74,8 
44	Sol# 1	24	=	=	=	=	=	-0,27	=	=	=	1,103	-19	26,09	0,602	=	=	=	=	0,000336	103,45	-0,4 0 -5,7 -20,2 -13,4 -1,6 -0,9 -27,7 -22,9 -8,9 -7,1 -24,3 -28,7 -19,9 -18,8 -24,9 -28,8 -22,2 -19,4 -33,6 -43 -39,2 -19,3 -29,7 -37,1 -46,4 -38,6 -40,8 -42,7 -38,6 -33,4 -35,3 -33,7 -47 -58,9 -54,7 -41,9 -46,6 -46,8 -49,8 -47,8 -55,8 -49,5 -65,7 -55,9 -56,9 -51 -51,7 -67 -60,3 -61,3 -73,3 -66,5 -72,2 -80,4 -75 -73,4 
45	La 1	25	=	=	=	=	=	-0,26	0,83	=	=	1,108	-18,7	25,9	0,593	=	=	=	-2	0,000442	109,41	-5,2 0 -1,5 -1,6 -11,6 -17,2 -14,2 -5,9 -25,1 -8 -20,6 -17,4 -24,6 -24,7 -16,5 -18,5 -20,1 -25,6 -36,1 -36,9 -30,1 -31,5 -28,7 -42,7 -19,7 -39,7 -44 -38,5 -34,4 -30,6 -39,8 -45 -43,8 -37,2 -41,8 -46,6 -48,3 -41,1 -49,7 -50,2 -46,4 -43,8 -61 -61 -61,9 -67,3 -67,1 -73,7 -68,9 -76,1 -75,3 -83,4 -85,4 -76 -87,6 -87,4 -90,4 -90,3 -89,2 -86,5 -90,9 -90,6 -90,6 -89,1 -86,5 -89,2 -91,9 -87,4 -87,6 -76 -85,4 -75,3 -76,1 
46	La# 1	26	=	=	=	=	=	-0,25	0,82	=	=	1,036	-19,2	25,72	0,584	=	=	=	=	0,000322	115,72	-2,2 0 -1,8 -0,9 -18,3 -9,3 -20,5 -17,6 -21,8 -12,8 -18,3 -29,7 -30,8 -23,9 -20,9 -22,2 -25 -37,4 -28,6 -45,3 -42,5 -39,6 -37,2 -40,1 -20,8 -52,8 -45,1 -39 -46,2 -45,7 -41,8 -50,9 -63,4 -58,4 -43,4 -57,2 -52,8 -59,3 -57,3 -70,3 -75,6 -65,6 -64,1 -67,9 
47	Si 1	27	=	=	=	=	=	-0,23	=	=	=	1,033	-19,5	25,54	0,576	=	=	=	=	0,000314	123,23	-11,6 0 -12,8 -16,5 -1,7 -10,3 -5,1 -19,1 -29,7 -14,3 -14,8 -28,9 -25,7 -32,2 -18,7 -21 -34,3 -50,1 -38,2 -36,2 -51,4 -30,3 -37,2 -35,6 -39,9 -37,7 -46,8 -42 -45 -48,3 -45,2 -55 -58,9 -61,6 -63,1 -50,9 -48,7 -56,7 -65,6 -63,6 -66,8 -73,5 -65,2 -60,8 -68,7 -75,8 -76,4 -99 -76,6 -99 -99 -99 -99 -99 -99 -76,6 -79,4 -81,4 -83,1 -84,1 -99 -83,1 -81,4 -79,4 -76,6 
48	Do 2	28	=	=	=	=	=	-0,22	0,81	=	=	=	=	25,36	0,567	=	=	=	=	0,000318	129,91	0 -2,2 -9,3 -24 -17,4 -26 -26,3 -26 -33,9 -25,2 -28 -23,1 -26,6 -32,7 -22,3 -33,2 -48,9 -41,7 -35,9 -44,5 -39,9 -33,6 -50,6 -59,7 -52,4 -59,4 -48,5 -52,9 -58,6 -59,9 -64,7 -71,8 -65,3 -63,7 -66,6 -60,4 -68,9 -75,6 -74,2 -78 -75,2 
